hardboiled;0.06127814628029545;0.23790339144114703;0.14959076886072123;0.22438615329108186
rainy;0.21954656223897362;0.21954656223897362;0.21954656223897362;0.1463643748259824
youth;0.04042693819186757;0.23888645295194474;0.1161827449599787;0.19774806805189551
boy-friend;0.2927287496519648;0.2927287496519648;0.2927287496519648;0.19515249976797655
thrill-seekers;0.2582900732223219;0.2582900732223219;0.2582900732223219;0.17219338214821459
phrase;0.21954656223897362;0.21954656223897362;0.21954656223897362;0.1463643748259824
disintegration;0.1596702270828899;0.1596702270828899;0.1596702270828899;0.10644681805525992
mandel;0.28328588675996597;0.28328588675996597;0.28328588675996597;0.1888572578399773
interest--set;0.2661170451381498;0.2661170451381498;0.2661170451381498;0.1774113634254332
restauranteur;0.0896108417301933;0.0896108417301933;0.0896108417301933;0.059740561153462206
proprietor;0.08987461454443332;0.3676688776817727;0.22877174611310302;0.34315761916965454
dimas;0.06553628723551451;0.06553628723551451;0.06553628723551451;0.043690858157009675
oracle;0.06317886683135931;0.06317886683135931;0.06317886683135931;0.04211924455423954
super-illain;0.3991755677072248;0.3991755677072248;0.3991755677072248;0.2661170451381499
two-fisted;0.11116281632353095;0.11116281632353095;0.11116281632353095;0.0741085442156873
incestuous;0.12197031235498534;0.12197031235498534;0.12197031235498534;0.08131354156999022
fulgencio;0.25091035684454127;0.25091035684454127;0.25091035684454127;0.1672735712296942
tourists;0.06360561454314086;0.3148477919885473;0.15897393271932878;0.26871366962550847
comparison;0.1393946426914118;0.1393946426914118;0.1393946426914118;0.09292976179427453
stay;0.03579078280407469;0.49311745196725126;0.10088528718030743;0.3148967609758167
institutionalized;0.06721252904164318;0.2912542925137871;0.21099148924010339;0.28472915539776683
mobile;0.10110894136248749;0.1925884597380714;0.14684870055027943;0.22027305082541915
placed;0.06676962130373572;0.3613414799966875;0.1515597568060095;0.28983542905321635
abandon;0.18684813807572223;0.18684813807572223;0.18684813807572223;0.12456542538381482
pecks;0.274433202798717;0.274433202798717;0.274433202798717;0.18295546853247802
adulterous;0.2696238436333;0.29958204848144443;0.28460294605737224;0.42690441908605836
experts;0.10416293138646557;0.16077322018345772;0.12227393415849433;0.19360504286420882
calmness;0.3028228444675498;0.3028228444675498;0.3028228444675498;0.20188189631169987
bonnie;0.16347340852959225;0.3841625100445418;0.2892571145370841;0.41844651655560905
contra;0.25091035684454127;0.25091035684454127;0.25091035684454127;0.1672735712296942
deliers;0.07530810053796752;0.216207127350939;0.1303164062896242;0.21091581708926535
surrounding;0.050414002443123176;0.2566531033468089;0.12860286125605075;0.2178349835229914
sands;0.13022457967611586;0.5488035857779168;0.2937396534047726;0.4863839094294026
iceland;0.33776394190611325;0.33776394190611325;0.33776394190611325;0.22517596127074216
neds;0.07139725601267435;0.07139725601267435;0.07139725601267435;0.047598170675116236
haing;0.03124084665252674;0.24808907635830055;0.10657756460418087;0.19295374380750407
lodge;0.10094094815584993;0.10094094815584993;0.10094094815584993;0.06729396543723329
ensures;0.2661170451381498;0.2661170451381498;0.2661170451381498;0.1774113634254332
humorous;0.05680017752439923;0.2577854210722735;0.1428981389665827;0.22874186878162772
oerturned;0.41818392807423543;0.41818392807423543;0.41818392807423543;0.2787892853828236
drift;0.07420839733026606;0.29958204848144443;0.18689522290585525;0.2803428343587829
bennet;0.10109539738014257;0.27939091639603036;0.1770460928331742;0.27876620330467355
stash;0.1873963463631911;0.264939662099684;0.21999713976592083;0.336166574114398
photographers;0.09244460160548819;0.2958227251375622;0.18175571454517803;0.28501152064411417
reality;0.03490511530047961;0.32910537283309343;0.11668808812516444;0.24034928812936876
philippines;0.08888698141757143;0.16851490227081248;0.12870094184419195;0.19305141276628793
full;0.04069059441374923;0.30924851754449423;0.11938209226036371;0.2346606021093036
inestigates;0.053478752850738;0.33424220531711246;0.15026437361000183;0.2689926658889261
adjacent;0.25091035684454127;0.25091035684454127;0.25091035684454127;0.1672735712296942
filipino;0.1330585225690749;0.1330585225690749;0.1330585225690749;0.0887056817127166
parapsychology;0.1596702270828899;0.1596702270828899;0.1596702270828899;0.10644681805525992
newly-elected;0.15406776297471833;0.15406776297471833;0.15406776297471833;0.10271184198314555
calorifically;0.1756372497911789;0.1756372497911789;0.1756372497911789;0.11709149986078593
true-life;0.1519587613115411;0.3679001589647837;0.2344760699683698;0.37716749512234726
maturity;0.11135145218682371;0.16347340852959225;0.13576489725541932;0.20529487898591764
hugely;0.08217297920487839;0.33616218765632067;0.16523527636651952;0.2917852216138593
wally;0.16262708313998045;0.16262708313998045;0.16262708313998045;0.10841805542665363
suite;0.1920812550222709;0.45195589417004917;0.28785286116782893;0.4659450051800745
pains;0.14164294337998298;0.14164294337998298;0.14164294337998298;0.09442862891998866
declines;0.14190728612278947;0.20740295664099997;0.1746551213818947;0.26198268207284203
taliban;0.10394818227717167;0.30520955647339765;0.19270960884576366;0.3009336737981665
literal;0.22517596127074216;0.22517596127074216;0.22517596127074216;0.1501173075138281
bailing;0.28328588675996597;0.28328588675996597;0.28328588675996597;0.1888572578399773
cross-hairs;0.09405482917440697;0.14444134480355356;0.11924808698898026;0.1788721304834704
willingly;0.07048853395312693;0.15366500401781671;0.11602564276929754;0.17008959037012059
odonoghue;0.21419176803802306;0.21419176803802306;0.21419176803802306;0.1427945120253487
aschenbach;0.5018207136890825;0.5018207136890825;0.5018207136890825;0.3345471424593884
conincing;0.08500653021194315;0.30814867201829393;0.19540480490375034;0.2942800035669937
mowgli;0.2696238436333;0.3516832743043043;0.31065355896880215;0.4659803384532032
