
('batman', 6.502290170873972)
('barsoom', 8.006367567650246)
('carter', 5.608472294851876)
('spider-man', 7.090076835776092)
('tower', 7.090076835776092)
('hero', 4.509860006183766)
('luthor', 7.090076835776092)
('esper', 8.006367567650246)
('bond', 4.480007043034085)
('tonto', 8.006367567650246)
('rangers', 6.620073206530356)
('gang', 6.316317567717078)
('narnia', 8.006367567650246)
('peensie', 8.006367567650246)
('incredible', 5.332218918223718)
('blackbeard', 8.006367567650246)
('jack', 4.409055307061801)
('partner', 4.787491742782046)
('secrets', 4.656463480375642)
('eles', 6.907755278982137)
('dwares', 6.907755278982137)
('peter', 9.698734293000268)
('connors', 7.600902459542082)
('bilbo', 6.753604599154879)
('dewitt', 8.699514748210191)
('bukater', 8.699514748210191)
('1912', 8.006367567650246)
('titanic', 7.313220387090301)
('ship', 7.065796052468876)
('april', 6.396929655216146)
('rose', 5.521460917862246)
('hopper', 7.600902459542082)
('jurassic', 8.006367567650246)
('park', 5.44141821018871)
('parker', 6.3016194754118215)
('alice', 5.521460917862246)
('transformer', 8.699514748210191)
('gwen', 7.600902459542082)
('promise', 5.654992310486769)
('flynn', 7.090076835776092)
('mater', 7.600902459542082)
('lantern', 7.600902459542082)
('green', 5.332218918223718)
('fate', 4.605170185988092)
('toys', 6.502290170873972)
('andy', 5.703782474656201)
('wright', 6.620073206530356)
('connor', 6.214608098422191)
('lane', 9.452429213117732)
('kirk', 6.3016194754118215)
('giants', 6.502290170873972)
('legend', 5.088596835565967)
('carraway', 8.699514748210191)
('kaiju', 13.049272122315287)
('jaegers', 8.699514748210191)
('captured', 5.265527543725046)
('mrida', 17.399029496420383)
('lord', 7.211541675149348)
('walle', 8.699514748210191)
('robot', 5.5640205322810425)
('ship', 4.710530701645918)
('curtis', 7.313220387090301)
('unprecedented', 6.214608098422191)
('scrooge', 8.006367567650246)
('criminal', 4.422848629194137)
('susan', 5.991464547107982)
('hugo', 10.361632918473205)
('automaton', 8.006367567650246)
('station', 7.898291315587569)
('clocks', 7.600902459542082)
('train', 7.038272344466582)
('father', 4.4492602069686695)
('loeless', 6.907755278982137)
('inentor', 5.755075769043752)
('oconnell', 7.600902459542082)
('emperor', 6.214608098422191)
('cage', 7.313220387090301)
('combat', 5.991464547107982)
('emotions', 13.004580341747944)
('riley', 9.452429213117732)
('rileys', 8.006367567650246)
('headquarters', 6.3016194754118215)
('francisco', 5.608472294851876)
('stark', 6.502290170873972)
('snow', 11.618285980628055)
('queen', 9.421061403291835)
('white', 6.3332669005979785)
('maleficent', 17.399029496420383)
('aurora', 8.699514748210191)
('outcast', 5.991464547107982)
('japan', 5.809142990314028)
('warriors', 5.809142990314028)
('captain', 6.742233193228838)
('america', 6.299557616819891)
('widow', 5.403677882205863)
('stee', 5.2030071867437115)
('rumpelstiltskin', 8.699514748210191)
('ralph', 17.269388197455342)
('game', 8.1886891244442)
('arcade', 7.600902459542082)
('illain', 5.608472294851876)
('games', 5.298317366548036)
('dragon', 5.480638923341991)
('warrior', 5.035953102080546)
('interstellar', 7.600902459542082)
('subconscious', 8.699514748210191)
('targets', 5.5640205322810425)
('torettos', 8.699514748210191)
('katniss', 10.130406898732318)
('snow', 5.809142990314028)
('president', 4.5251274783145545)
('balthazar', 8.699514748210191)
('sorcerer', 6.907755278982137)
('shrek', 7.090076835776092)
('faces', 7.211541675149348)
('decepticons', 7.090076835776092)
('harry', 5.173154223594031)
('oldemort', 8.006367567650246)
('harry', 7.759731335391046)
('hancock', 8.006367567650246)
('neille', 12.00955135147537)
('culinary', 7.600902459542082)
('remy', 7.600902459542082)
('restaurant', 5.44141821018871)
('paris', 4.710530701645918)
('french', 4.422848629194137)
('penguins', 6.753604599154879)
('matrix', 11.401353689313122)
('zion', 10.969830580635453)
('reach', 5.480638923341991)
('resistance', 5.403677882205863)
('humans', 5.144166686720778)
('thor', 7.313220387090301)
('desert', 5.061928588483807)
('thor', 10.969830580635453)
('bolt', 7.313220387090301)
('titans', 8.699514748210191)
('gods', 6.620073206530356)
('honey', 6.907755278982137)
('kung', 10.130406898732318)
('furious', 6.620073206530356)
('weapon', 5.480638923341991)
('china', 5.233778845410465)
('hunt', 4.938314632516629)
('cale', 7.600902459542082)
('sewer', 8.006367567650246)
('roddy', 8.006367567650246)
('neerland', 7.313220387090301)
('peter', 4.849367146500134)
('menelaus', 8.699514748210191)
('trojans', 8.699514748210191)
('greeks', 8.699514748210191)
('troy', 6.907755278982137)
('penguins', 10.130406898732318)
('alex', 8.050965357052482)
('monkeys', 8.006367567650246)
('melman', 8.006367567650246)
('gloria', 7.600902459542082)
('marty', 6.502290170873972)
('circus', 6.060457418594933)
('attention', 5.654992310486769)
('back', 5.566625371205514)
('reunite', 5.088596835565967)
('hendricks', 7.600902459542082)
('ethan', 5.926926025970411)
('globodyne', 8.699514748210191)
('dick', 6.3016194754118215)
('jane', 5.521460917862246)
('people', 4.952028070038659)
('algren', 8.699514748210191)
('dragon', 8.220958385012986)
('program', 5.115995809754082)
('riggs', 8.006367567650246)
('murtaugh', 8.006367567650246)
('spirits', 5.755075769043752)
('rogers', 7.600902459542082)
('penguin', 10.635115253664138)
('mumble', 8.699514748210191)
('sophie', 6.620073206530356)
('nice', 6.502290170873972)
('rango', 8.006367567650246)
('bourne', 7.090076835776092)
('reporter', 4.807694450099565)
('lang', 8.006367567650246)
('katniss', 6.753604599154879)
('hunger', 6.620073206530356)
('annual', 5.703782474656201)
('marcus', 8.987196820661973)
('miami', 6.060457418594933)
('mike', 5.115995809754082)
('boots', 7.313220387090301)
('salt', 11.401353689313122)
('tintin', 15.201804919084164)
('snowy', 6.907755278982137)
('australia', 6.214608098422191)
('kitai', 13.049272122315287)
('cypher', 8.006367567650246)
('magic', 5.115995809754082)
('sparrow', 7.090076835776092)
('pirate', 6.134565390748655)
('toretto', 7.090076835776092)
('brian', 5.809142990314028)
('perseus', 16.012735135300492)
('hades', 7.600902459542082)
('chip', 6.753604599154879)
('freeze', 7.313220387090301)
('grinch', 13.049272122315287)
('whoille', 13.049272122315287)
('whos', 6.350409944333412)
('christmas', 4.692181562977721)
('weather', 6.502290170873972)
('storm', 5.144166686720778)
('roxanne', 8.699514748210191)
('johnnys', 8.006367567650246)
('mephistopheles', 8.006367567650246)
('johnny', 5.403677882205863)
('soul', 5.088596835565967)
('stuart', 6.753604599154879)
('mouse', 5.755075769043752)
('elysium', 8.699514748210191)
('omnicorp', 17.399029496420383)
('robocop', 8.006367567650246)
('technology', 5.265527543725046)
('racer', 7.313220387090301)
('corruption', 5.521460917862246)
('jedi', 13.815510557964274)
('clone', 6.502290170873972)
('galaxy', 5.926926025970411)
('padm', 13.049272122315287)
('anakin', 10.969830580635453)
('naboo', 8.699514748210191)
('jedi', 6.907755278982137)
('afraid', 6.907755278982137)
('children', 5.893245185616791)
('croods', 8.699514748210191)
('huntsman', 7.600902459542082)
('turtles', 6.620073206530356)
('city', 4.691041074048641)
('kowalsky', 8.699514748210191)
('shuttle', 7.313220387090301)
('stone', 5.809142990314028)
('space', 4.674163057475043)
('shredder', 7.090076835776092)
('larry', 6.214608098422191)
('museum', 5.926926025970411)
