
('based', 3.7910703950104834)
('pair', 2.379660432907675)
('romance', 2.041490401785893)
('farmhand', 3.8775265696846706)
('landlords', 3.622113757801675)
('deaf', 3.387111943178807)
('daughter-in-law', 3.387111943178807)
('derby', 3.530952979404698)
('trains', 3.22788507761954)
('kentucky', 3.22788507761954)
('natie', 2.6785789332854852)
('horse', 2.621373757696613)
('indian', 2.3244864043232423)
('bhanu', 4.080259123738752)
('worker', 2.595051890953902)
('role', 2.0904182967877722)
('commissionaire', 4.080259123738752)
('suspected', 2.8590856060541503)
('committed', 2.557997904877041)
('robbery', 2.3880639920658653)
('outlaws', 2.954613224435505)
('haunted', 2.649158683274018)
('william', 2.432340690736588)
('inestigate', 2.1394772247670337)
('canadian', 3.010226041990617)
('murderer', 2.5823929869617572)
('serial', 2.5347378970595944)
('reunited', 3.0405383528988343)
('student', 2.0248221916520968)
('twitch', 4.080259123738752)
('2014', 3.8775265696846706)
('film3', 3.8775265696846706)
('synopsis', 3.7336855334587797)
('april', 3.387111943178807)
('released', 2.40530708010145)
('smugglers', 3.184379389124725)
('alien', 2.3880639920658653)
('goernment', 2.076592531122517)
('battle', 2.0047391707894295)
('tear', 3.622113757801675)
('relationships', 2.6080396341555323)
('society', 2.2234730903865985)
('telephone', 3.4538776394910684)
('employer', 2.981646835070643)
('exchange', 2.9289665772417295)
('kung', 3.387111943178807)
('martial', 2.881311487339567)
('arts', 2.8173948015846246)
('warrior', 2.7789142810165606)
('learns', 2.041490401785893)
('khan', 2.7262340231876476)
('films', 2.3880639920658653)
('scientist', 2.3097794617200953)
('reoles', 2.008691760542986)
('enforcement', 3.3282204253506156)
('lone', 3.144358035287957)
('battles', 2.981646835070643)
('africa', 2.4609198976565625)
('criminals', 2.2614660438755596)
('queensland', 3.622113757801675)
('aged', 3.275540167521702)
('melbourne', 3.184379389124725)
('north', 2.4512108547280116)
('decide', 2.0904182967877722)
('1904', 4.080259123738752)
('pass', 2.981646835070643)
('paris', 2.470821211304652)
('doctor', 2.085767100456615)
('heirloom', 4.080259123738752)
('recoer', 2.8378057988447525)
('family', 2.5620962884791303)
('stolen', 2.2816029934445297)
('shanker', 4.080259123738752)
('mute', 3.0405383528988343)
('elephant', 3.7336855334587797)
('important', 2.6785789332854852)
('action', 2.1292727889514302)
('assassin', 2.6636524517106444)
('international', 2.470821211304652)
('moral', 3.144358035287957)
('alcoholic', 2.8590856060541503)
('writer', 2.3097794617200953)
('accused', 2.3097794617200953)
('successful', 2.2358193966817845)
('danish', 3.622113757801675)
('earns', 3.0405383528988343)
('contract', 2.7789142810165606)
('stage', 2.6785789332854852)
('actress', 2.432340690736588)
('troublesome', 3.8775265696846706)
('posted', 3.622113757801675)
('priate', 2.3632655214961793)
('alley', 3.144358035287957)
('flees', 2.8378057988447525)
('hall', 2.7262340231876476)
('dance', 2.5823929869617572)
('dharmendra', 3.8775265696846706)
('pyar', 3.8775265696846706)
('fans', 3.3282204253506156)
('usual', 3.3282204253506156)
('mithun', 2.3880639920658653)
('corporate', 2.8378057988447525)
('main', 2.49123220856478)
('characters', 2.1996590658919715)
('completely', 2.981646835070643)
('backdrop', 2.7431847990254883)
('youth', 2.557997904877041)
('pre-war', 3.7336855334587797)
('hostess', 3.530952979404698)
('nightclub', 2.6785789332854852)
('hunt', 2.501758913163696)
('pageant', 3.7336855334587797)
('shanghai', 3.530952979404698)
('1920s', 3.0405383528988343)
('beauty', 2.7262340231876476)
('automobile', 3.530952979404698)
('kills', 2.379660432907675)
('runs', 2.205507085773567)
('accident', 2.1825145291526553)
('day-to-day', 3.622113757801675)
('staff', 2.8378057988447525)
('patients', 2.8378057988447525)
('hospital', 2.3320053430055125)
('sacred', 3.22788507761954)
('idol', 3.010226041990617)
('saes', 2.649158683274018)
('india', 2.5823929869617572)
('soldier', 2.5235014691335653)
('troubled', 2.760730458931123)
('teacher', 2.3473911723388894)
('students', 2.3473911723388894)
('high', 2.067583278371178)
('15th', 3.622113757801675)
